tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,extensions,adam_seconds,lbfgs_seconds,tau_final,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15
resample_unw_T27_s9,resample_unw,27.0,9,0.9471036876189429,0.4474792486150179,False,0.8952239911144021,2.829259746603022,60750,plateau,200000,0.0001,0,False,33,stalled,60,True,1.643077773220463e-05,2.5180178450520928e-08,1.6405597553754108e-05,,0.0020519404514534275,1,284.3,111.2,,parked,0.9911144020733061,100.63015456567729,2.8000000000000003,2.87
resample_unw_T40_s0,resample_unw,40.0,0,0.9345933115267715,0.43402258559213774,False,0.8160459885028742,2.0135098482460405,60250,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021056379903074882,9.63470367004782e-07,0.021055416432707877,,0.00025044981450575806,1,426.0,11.9,,parked,0.7680579855036241,0.8006146388446505,1.41,2.43
resample_unw_T40_s1,resample_unw,40.0,1,0.9648169834207498,0.46475565548782244,False,0.9292676830792302,2.8293361141456415,62750,plateau,200000,0.0001,0,False,30,stalled,60,True,6.142314447672609e-07,3.0475359061431e-11,6.142009694081995e-07,,6.270040423296202e-05,1,424.0,122.4,,parked,0.9967508122969257,90.90080901154312,2.81,2.86
resample_unw_T40_s2,resample_unw,40.0,2,0.9344201819008746,0.43378180138354716,False,0.8157960509872532,1.9986654311205836,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021173433052315237,8.925050486523536e-07,0.021172540547266586,,0.0001275237922639008,1,401.8,13.3,,parked,0.7693076730817295,0.7904925536350844,1.43,2.41
resample_unw_T40_s3,resample_unw,40.0,3,0.93462948022882,0.43401152132643,False,0.8160459885028742,2.0036235452499267,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021121586392593008,9.994805960754648e-07,0.021120586911996933,,0.0010781724821441897,1,465.4,15.6,,parked,0.7690577355661085,0.8034872254871759,1.42,2.42
resample_unw_T40_s4,resample_unw,40.0,4,0.9344724556251209,0.4338660323910965,False,0.8160459885028742,2.01374008611368,62500,plateau,200000,0.0001,0,False,3,stalled,60,True,0.02116218784300282,1.2341641938938694e-06,0.021160953678808925,,0.0003202962894309704,1,850.6,23.6,,parked,0.7690577355661085,0.7680285536845587,1.41,2.43
resample_unw_T40_s5,resample_unw,40.0,5,0.9347880300912932,0.4341690162741254,False,0.8162959260184953,1.9985284837461141,62750,plateau,200000,0.0001,0,False,3,stalled,60,True,0.02118476825133968,1.0827367038284828e-06,0.021183685514635852,,5.0093356106112944e-05,1,520.2,11.2,,parked,0.7723069232691827,0.7628646219635533,1.41,2.41
resample_unw_T40_s6,resample_unw,40.0,6,0.9350785807297411,0.43444555791674255,False,0.8165458635341165,1.9984161148382895,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.02111033244898441,1.2544437264688457e-06,0.021109078005257943,,0.0010212924760937179,1,545.1,16.0,,parked,0.7670582354411397,0.7885497491893949,1.4000000000000001,2.41
resample_unw_T40_s7,resample_unw,40.0,7,0.9348692487215392,0.434244224419221,False,0.8167958010497376,1.9984882666686743,61000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021108161542872213,1.1441220063919234e-06,0.02110701742086582,,0.001227187930608778,1,576.2,15.6,,parked,0.7700574856285929,0.7809329434004182,1.41,2.41
resample_unw_T40_s8,resample_unw,40.0,8,0.9347274458279766,0.4340859170386924,False,0.8162959260184953,1.998649073943975,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021078752092972133,9.132461829249438e-07,0.021077838846789206,,0.00011851101625185586,1,492.6,15.4,,parked,0.7688077980504874,0.7803555695439263,1.44,2.41
resample_unw_T40_s9,resample_unw,40.0,9,0.9348197002484626,0.4342182230820909,False,0.8162959260184953,2.0191057052995856,64500,plateau,200000,0.0001,0,False,3,stalled,60,True,0.021070195190381297,1.2501402493179314e-06,0.02106894505013198,,0.003105284222712786,1,687.7,15.2,,parked,0.7675581104723819,0.8761307950727655,1.42,2.44
reg_unw_T14_s0,reg_unw,14.0,0,0.0002357753660115077,2.5176169669757975e-08,True,0.0,2.8299235536345178,60250,plateau,200000,0.0001,0,False,6,stalled,60,True,8.236526819882113e-07,6.043247762317218e-13,8.236520776634351e-07,4.0098416218250944e-28,2.1156210081138333e-05,1,188.6,14.7,,success,1.0,0.009521438478705587,,
reg_unw_T14_s1,reg_unw,14.0,1,8.384664088912734e-05,3.2015828799796018e-09,True,0.0,2.829882791661053,61250,plateau,200000,0.0001,0,False,8,stalled,60,True,2.5046264302642503e-07,1.3638048934651923e-13,2.504625066459357e-07,3.6809418022412673e-28,6.044626835930959e-06,1,205.5,21.5,,success,1.0,0.010523920200877305,,
reg_unw_T14_s2,reg_unw,14.0,2,8.448776388883342e-05,3.232151948419762e-09,True,0.0,2.8299949812889507,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,2.299317810407876e-07,5.43814967227905e-14,2.2993172665929088e-07,4.253439028345694e-28,8.845359413246902e-06,1,221.0,26.2,,success,1.0,0.0021647378324761548,,
reg_unw_T14_s3,reg_unw,14.0,3,9.291637531334283e-05,4.170537637314077e-09,True,0.0,2.8300397529648533,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,4.5063932679429875e-07,3.4436330359665127e-13,4.5063898243099517e-07,3.5071998074259446e-28,2.468754815421539e-05,1,240.4,19.9,,success,1.0,0.002362590511677616,,
reg_unw_T14_s4,reg_unw,14.0,4,5.665463271896873e-05,1.716779137286566e-09,True,0.0,2.8300340002610342,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,3.165768513359811e-07,1.6992522545699965e-13,3.1657668141075563e-07,3.651073072232039e-28,9.060044348230393e-06,1,285.5,34.2,,success,1.0,0.004071679729197966,,
reg_unw_T14_s5,reg_unw,14.0,5,7.854346641254845e-05,3.1201795933193206e-09,True,0.0,2.8299622663254875,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,4.372643212654226e-07,2.9050257720258423e-15,4.3726431836039683e-07,4.491183404896519e-28,1.1007235809342876e-05,1,233.7,22.2,,success,1.0,0.023261641716997777,,
reg_unw_T14_s6,reg_unw,14.0,6,0.00040794567555390215,7.430188090232572e-08,True,0.0,2.829949075632716,60250,plateau,200000,0.0001,0,False,5,stalled,60,True,4.820776385970369e-07,9.635321308859249e-13,4.82076675064906e-07,3.574269988886035e-28,2.166532109338821e-05,1,207.6,14.8,,success,1.0,0.004554299592496253,,
reg_unw_T14_s7,reg_unw,14.0,7,8.531196176115657e-05,3.499405773699826e-09,True,0.0,2.8299574167448864,61000,plateau,200000,0.0001,0,False,7,stalled,60,True,4.0236722097140697e-07,1.993133873274448e-12,4.023652278375337e-07,3.846170518443454e-28,1.0255831040161905e-05,1,243.6,24.0,,success,1.0,0.002100790542520567,,
reg_unw_T14_s8,reg_unw,14.0,8,6.855706034614601e-05,2.256016329525504e-09,True,0.0,2.8299596484297775,60000,plateau,200000,0.0001,0,False,7,stalled,60,True,2.7040236796209003e-07,9.676055984655794e-13,2.704014003564916e-07,3.463472573035402e-28,2.116823206188185e-05,1,217.5,20.2,,success,1.0,0.003149940708615638,,
reg_unw_T14_s9,reg_unw,14.0,9,0.0002887932775062029,3.726913077107646e-08,True,0.0,2.829992355460614,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,2.718203255636469e-07,2.620023419891625e-13,2.718200635613049e-07,4.0050910086084643e-28,1.2739141472541994e-05,1,235.0,26.0,,success,1.0,0.013544729952555547,,
