tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,tau_final,density,extensions,adam_seconds,lbfgs_seconds,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15,source,periods,hours,n_points,periods_survived
pseudo_unw_T40_s0,pseudo_unw,40.0,0,0.6872084842946639,0.22246628155089615,False,0.0,2.8547396008430455,60000,plateau,200000,0.0001,0,False,15,stalled,60,True,0.00040228307523344157,4.551898902378682e-07,0.0004018278853432037,,0.0005289966597568534,0.637640838274662,20.0,0,970.8,57.7,diffuse,0.9890027493126718,0.1692031508066968,2.72,8.57,converged,6.003043369800688,0.2856944444444444,800,1.2861520419797974
pseudo_unw_T40_s1,pseudo_unw,40.0,1,0.002126682966186676,2.0103753174976136e-06,True,0.0,2.8301218075163797,62250,plateau,200000,0.0001,0,False,28,stalled,60,True,7.656442917612096e-07,8.55901926731375e-12,7.656357327419424e-07,,5.2016475179721585e-05,0.7395837585006355,20.0,0,996.2,107.9,success,1.0,0.008689739006070974,,,converged,6.003043369800688,0.3066944444444445,800,6.003043369800688
pseudo_unw_T40_s2,pseudo_unw,40.0,2,0.9349652913019653,0.43426593012451614,False,0.8157960509872532,1.998637540350187,60000,plateau,200000,0.0001,0,False,4,stalled,60,True,0.021199400077301204,9.464122220615643e-07,0.021198453665079144,,0.003386654400095811,0.8230557791430978,20.0,0,952.7,15.8,parked,0.7728067983004249,0.7866322768616051,1.45,2.4,converged,6.003043369800688,0.26902777777777775,800,0.3601826021880412
pseudo_unw_T40_s3,pseudo_unw,40.0,3,0.000516812886568731,1.2159705697468954e-07,True,0.0,2.830241103137807,91000,plateau,200000,0.0001,0,False,51,stalled,60,True,2.1680655199086283e-06,1.8809646717971482e-13,2.168065331812161e-06,,3.561858524761578e-05,0.5781915764279717,20.0,0,1395.5,194.6,success,1.0,0.011777280962452884,,,converged,6.003043369800688,0.44169444444444445,800,6.003043369800688
pseudo_unw_T40_s4,pseudo_unw,40.0,4,0.0027521358723450926,3.3700946915402953e-06,True,0.0,2.8300938283996575,66250,plateau,200000,0.0001,0,False,60,stalled,60,True,1.3140935520391634e-06,4.431600829517248e-12,1.3140891204383338e-06,,3.735898002282602e-05,0.6777490937994334,20.0,0,1178.3,240.0,success,1.0,0.022129969746708975,,,converged,6.003043369800688,0.3939722222222222,800,6.003043369800688
pseudo_unw_T40_s5,pseudo_unw,40.0,5,0.939445295632056,0.4385423890840886,False,0.8212946763309172,1.9981128923112839,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,0.021335948244801704,1.7979517906812318e-06,0.02133415029301102,,0.010852047650471068,0.6767876008130862,20.0,0,2216.1,73.7,parked,0.770557360659835,0.7800103797483786,1.34,2.35,converged,6.003043369800688,0.6360555555555555,800,0.3526787979757904
pseudo_unw_T40_s6,pseudo_unw,40.0,6,0.008889024934501652,3.519716714469737e-05,True,0.0,2.830363759685425,65250,plateau,200000,0.0001,0,False,60,cap,60,False,3.3464461034935258e-06,8.544260237307043e-11,3.3463606608911526e-06,,0.0001469698539595295,0.6296382029641612,20.0,0,938.3,209.4,success,1.0,0.028108599776551033,,,converged,6.003043369800688,0.31880555555555556,800,6.003043369800688
pseudo_unw_T40_s7,pseudo_unw,40.0,7,0.00042443369639911485,8.18849410069359e-08,True,0.0,2.8299993857996735,61000,plateau,200000,0.0001,0,False,49,stalled,60,True,1.0368791706249125e-06,3.8565620959458826e-13,1.036878784968703e-06,,3.171667992572418e-05,0.6865834675319831,20.0,0,1082.7,195.8,success,1.0,0.009342873258580372,,,converged,6.003043369800688,0.3551388888888889,800,6.003043369800688
pseudo_unw_T40_s8,pseudo_unw,40.0,8,0.0004500665782093103,9.566442762072363e-08,True,0.0,2.8302605394058276,65000,plateau,200000,0.0001,0,False,57,stalled,60,True,3.926504728407359e-06,1.593070583747455e-13,3.926504569100301e-06,,0.00015051103196236392,0.5155400825394117,20.0,0,1755.3,436.8,success,1.0,0.00814771796249891,,,converged,6.003043369800688,0.6089166666666667,800,6.003043369800688
pseudo_unw_T40_s9,pseudo_unw,40.0,9,0.00806162298221115,2.8930847374188747e-05,True,0.0,2.83036763221825,61000,plateau,200000,0.0001,0,False,33,stalled,60,True,1.7565900403556707e-06,4.458301004481214e-11,1.756545457345626e-06,,4.458934731834931e-05,0.7391939830076806,20.0,0,1001.9,122.8,success,1.0,0.01813118995177439,,,converged,6.003043369800688,0.3124166666666667,800,6.003043369800688
pseudo_unw_T67_s0,pseudo_unw,67.0,0,0.5357928731117504,0.13945679592410662,False,0.15549917922698106,2.8299312950346662,61500,plateau,200000,0.0001,0,False,12,stalled,60,True,0.012941207797880855,1.2671127090425603e-08,0.012941195126753765,,0.00906063118156123,0.6766869301047729,20.0,0,1483.6,79.9,diffuse,0.796448291299806,0.7552750155930782,6.17,26.13,axes,10.055097644416152,0.43430555555555556,1340,3.9214880813222988
pseudo_unw_T67_s1,pseudo_unw,67.0,1,0.7972181484913555,0.3154709108164754,False,0.5529025518579317,2.8182379529038117,60250,plateau,200000,0.0001,0,False,12,stalled,60,True,0.013026733772019095,1.0108726696659358e-07,0.013026632684752128,,0.011630912460811828,0.8596654481857153,20.0,0,1016.5,42.5,parked,0.7645127592896582,0.7608935359045177,5.0,12.82,axes,10.055097644416152,0.2941666666666667,1340,1.9239754000211204
pseudo_unw_T67_s2,pseudo_unw,67.0,2,0.962641722423198,0.4616691535800086,False,0.8910610356663184,1.9990261241107683,60500,plateau,200000,0.0001,0,False,5,stalled,60,True,0.0127033996838102,4.752483386091254e-07,0.01270292443547159,,0.001585148822456634,0.8296170055992438,20.0,0,2691.4,57.3,parked,0.8695717057155649,0.7673594201298333,1.4000000000000001,2.41,axes,10.055097644416152,0.7635277777777778,1340,0.3616833630304914
