loss_kind,n,seed,outer,loss
physics,500,1,0,0.0009573370831579674
physics,500,1,1,0.00015760529485526461
physics,500,1,2,7.307978956212703e-05
physics,500,1,3,4.3001088127879916e-05
physics,500,1,4,2.761420078544468e-05
physics,500,1,5,2.050777725288715e-05
physics,500,2,0,0.000174274653199673
physics,500,2,1,3.272231162317403e-05
physics,500,2,2,1.2437868526746064e-05
physics,500,2,3,6.718791728330188e-06
physics,500,2,4,4.690216476033344e-06
physics,500,2,5,3.344678906989471e-06
physics,1000,0,0,0.0007787368527663816
physics,1000,0,1,0.00012909470874709116
physics,1000,0,2,6.042122512567177e-05
physics,1000,0,3,3.5061148953807285e-05
physics,1000,0,4,2.3556292036888642e-05
physics,1000,0,5,1.6379708458023614e-05
physics,1000,1,0,0.001117077720698056
physics,1000,1,1,0.0002202148945951492
physics,1000,1,2,9.010800786952449e-05
physics,1000,1,3,5.2555062813185575e-05
physics,1000,1,4,3.50860596755178e-05
physics,1000,1,5,2.5885778323456948e-05
physics,1000,2,0,0.00045124285362900155
physics,1000,2,1,5.6766383141835585e-05
physics,1000,2,2,2.533202970641052e-05
physics,1000,2,3,1.4809108594633352e-05
physics,1000,2,4,9.798110503898653e-06
physics,1000,2,5,7.181578110726936e-06
physics,2000,0,0,0.0006538051648903935
physics,2000,0,1,0.0001258209293867247
physics,2000,0,2,6.32510624462717e-05
physics,2000,0,3,3.69039699645787e-05
physics,2000,0,4,2.6705214424407344e-05
physics,2000,0,5,2.0452247766216306e-05
physics,2000,1,0,0.0010277384162757366
physics,2000,1,1,0.00020659039861620362
physics,2000,1,2,8.271802752814448e-05
physics,2000,1,3,5.251183854103777e-05
physics,2000,1,4,3.6472767915296956e-05
physics,2000,1,5,2.6229876230459073e-05
physics,2000,2,0,0.00036858337914415657
physics,2000,2,1,5.0231112609871834e-05
physics,2000,2,2,2.1665436185642537e-05
physics,2000,2,3,1.29141182240375e-05
physics,2000,2,4,8.878929859132213e-06
physics,2000,2,5,6.565526534012716e-06
data,50,0,0,7.259398279868582e-05
data,50,0,1,1.4740910377230545e-05
data,50,0,2,6.585006007979185e-06
data,50,0,3,3.55509264783044e-06
data,50,0,4,2.3845574432728673e-06
data,50,0,5,1.695048490987228e-06
data,50,1,0,0.0001372261700951753
data,50,1,1,2.532564222511938e-05
data,50,1,2,1.2220561534110719e-05
data,50,1,3,6.088762416457903e-06
data,50,1,4,3.658545221540142e-06
